Brand,Model,Color,Retail Price($),Number of Sales,Average Sale Price($),Price Premium(%)
Adidas,Solar Hu Glide Black,Footwear White/Core Black/Bold Green ,150,424,220,12
Adidas,Solar Hu Glide Multi-Color,Multi-Color ,150,580,224,30
Adidas,Yung-1 Collegiate Navy,Chalk White/Core Black/Collegiate Navy ,130,941,134,-15
Adidas,Yung-1 Cloud White,Running White/Running White/Cloud White ,120,175,126,-8
Adidas,NMD R1 Sesame Black,Sesame/Sesame/Off White ,140,147,91,-44
Adidas,Ultra Boost 4.0 Tech Ink,Tech Ink/Cloud White/Vapor Grey ,180,136,128,-33
Adidas,Yeezy Boost 350 V2 Beluga,Steeple Gray/Beluga/Solar Red ,220,1526,829,227
Adidas,Yeezy Boost 350 V2 Core Black White,Core Black/Core White/Core Black ,220,1715,751,209
Adidas,Falcon White Blue (W),Cloud White/Cloud White/Blue ,100,192,119,#VALUE!
Adidas,EQT Support 93/17 Triple Black,Core Black/Core Black/Core Black ,180,1437,130,-36
Adidas,Ultra Boost 2.0 White Reflective,White/White ,200,226,218,-1
Adidas,Ultra Boost 2.0 Multi-Color,White/White/Red ,180,1261,243,15
