Brand,Model,Color,Model Color,Retail_Price ($),Release_Date,Number_of_Sales,Price_Premium,Avg_Sale_Price ($)
Nike,Jordan 1 Retro High Off-White University Blue,White,White/Dark Powder Blue-Cone ,190,6/23/18,15594,2.69,851
Nike,Jordan 3 Retro Black Cement (2018),Black,Black/Fire Red-Cement Grey-White ,200,2/17/18,20333,0.18,243
Nike,Jordan 1 Retro High Pine Green (GS),Green,Pine Green/Sail-Black ,120,9/22/18,1434,1.20,269
Nike,Jordan 1 Retro High NRG Patent Gold Toe,Black,Black/Metallic Gold-Summit White ,160,2/10/18,10445,1.44,252
Nike,Jordan 12 Retro International Flight,Blue,College Navy/University Red-Sail ,200,9/8/18,2564,0.04,203
Nike,Jordan 5 Retro International Flight,White,Sail/Racer Blue-Cone-Black ,190,8/25/18,1271,-0.28,152
Nike,Jordan 3 Retro Tinker Hatfield,White,White/Black-Fire Red-Cement Grey ,200,3/24/18,8832,0.03,276
Nike,Jordan 5 Retro Wings (GS),Multicolor,Multi-Color/Multi-Color ,160,9/29/18,313,0.39,213
Nike,Jordan 4 Retro Raptors,Black,Black/Court Purple-University Red ,200,8/18/18,2884,-0.10,239
Nike,Jordan 13 Retro He Got Game (2018),White,White/True Red-Black ,190,8/4/18,4475,0.31,208
Nike,Jordan 11 Retro Win Like 96,Red,Gym Red/Black-White ,220,12/9/17,9403,0.01,256
Nike,Jordan 1 Retro High Clay Green,White,Summit White/Clay Green-Black ,160,5/1/18,6993,0.29,220
Nike,Jordan 1 Retro High Shadow 2018 (GS),Black,Black/Medium Grey-White ,120,4/14/18,4099,0.50,142
Nike,Jordan 3 Retro JTH Bio Beige,Tan,Bio Beige/Bio Beige-Camellia-Opti Yellow ,250,8/28/18,2646,0.27,319
Nike,Jordan 1 Retro High Nigel Sylvester,White,Sail/White-Varsity Red-Reflect Silver ,180,9/1/18,3056,0.50,348
Nike,Jordan 13 Retro He Got Game 2018 (GS),White,White/True Red-Black ,140,8/4/18,3665,0.50,175
Nike,Jordan 10 Retro Tinker,Blue,Racer Blue/Team Orange-Black ,190,10/20/18,55,-0.03,185
Nike,Jordan 1 Retro Royal (2017),Black,Black/Varsity Royal-White ,160,4/1/17,6935,0.56,271
Nike,Jordan 11 Retro Space Jam (2016),Black,Black/Dark Concord-White ,220,12/10/16,5334,0.25,284
Nike,Jordan 1 Retro High Blue Moon,White,Summit White/Blue Moon-Black ,160,5/1/18,6510,1.40,231
Nike,Jordan 11 Retro Platinum Tint,Grey,Platinum Tint/Sail-University Red-Black ,220,10/27/18,36,0.25,313
Nike,Jordan 1 Mid Multi-Color Swoosh (GS),Black,Black/White-University Red-Tour Yellow ,90,6/1/18,175,0.66,123
Nike,Jordan 11 Retro Cap and Gown,Black,Black/Black-Black ,250,5/26/18,9767,0.28,324
Nike,Jordan 5 Retro Paris Saint-Germain,Black,Black/Challenge Red-White ,225,9/14/18,1854,0.04,265
Nike,Jordan 1 Mid Gym Red Black (GS),Red,Gym Red/Black-White ,90,6/1/18,250,0.09,101
Nike,Air Vapormax Off White 2018,White,White/Total Orange-Black ,250,4/14/18,5400,1.48,591
Nike,Air VaporMax Off-White Black,Black,Black/Total Crimson-Clear ,250,3/30/18,4371,1.66,623
Nike,Air Force 1 Mid Supreme NBA Black,Black,Black/Black ,165,3/8/18,4020,0.32,229
Nike,Air Max 97 Metallic Gold (2018),Yellow,Metallic Gold/Varsity Red-White-Back ,160,5/18/18,3474,0.13,185
Nike,Nike Cortez Kenny 3 Kendrick Lamar TDE the Championship,Black,Black/White-Gym Red ,100,6/22/18,3455,0.85,160
Nike,Air Foamposite One Big Bang,Orange,Team Orange/Dark Grey-Black ,230,1/4/18,2998,1.61,503
Nike,Air Max 97 Off-White,White,White/Cone-Ice Blue ,190,11/1/17,1977,3.47,639
Nike,Nike Blazer Mid Off-White,White,White/Black-Muslin ,130,9/9/17,1791,7.08,678
Nike,Nike Zoom Fly Off-White,White,White/White-Muslin ,170,11/1/17,1752,4.04,522
Nike,Nike React Hyperdunk 2017 Flyknit Off-White,White,White/White-White ,200,11/1/17,1727,2.18,479
Nike,Kobe 1 Protro Undefeated Camo,Green,Deep Forest/Black-White ,180,2/16/18,1703,0.44,435
Nike,Air VaporMax Plus Triple Black,Black,Black/Black-Dark Grey ,190,1/25/18,1629,0.15,215
Nike,Air Force 1 Low CLOT 1WORLD (2018),White,White/White-White ,200,2/1/18,1599,0.54,369
Nike,Kobe 1 Protro Think 16 (Close Out),White,White/Del Sol-Varsity Purple ,175,4/14/18,1538,-0.31,196
Nike,Lunar Force 1 Low Acronym (AF100),White,White/White ,200,12/3/17,1452,0.20,263
Nike,Kyrie 4 Confetti,Multicolor,Multi-Color/Multi-Color ,120,12/16/17,1340,1.10,248
Nike,Kobe 1 Protro Black Maize,Black,Black/White-Varsity Maize ,175,2/17/18,1328,-0.05,233
Nike,Air Max 270 Dusty Cactus,Black,Black/White-Dusty Cactus ,150,3/22/18,1318,0.23,173
Nike,Air Max 1 Watermelon,White,Summit White/Kinetic Green-Pure Platinum-Sunset Pulse ,110,3/20/18,1162,0.09,132
Nike,LeBron Icon John Elliott White,White,White/Black ,250,8/4/18,1041,0.10,325
Nike,Air Force 1 High Just Don (AF100),White,White/White ,200,12/1/17,1016,-0.08,233
Nike,Jordan 1 Retro Mid New Love (2017),Black,Black/Varsity Maize-White ,110,6/1/17,1540,1.64,238
Nike,Jordan 18 Retro Toro,Red,Gym Red/Black ,225,4/7/18,1538,-0.08,275
Nike,Jordan 13 Retro Alternate History of Flight,White,White/Metallic Silver-University Red ,190,7/22/17,1507,-0.26,157
Nike,Jordan 1 Retro High Gatorade Cyber,Yellow,Cyber/Cyber ,175,12/26/17,1423,-0.25,178
Nike,Jordan 11 Retro Win Like 96 (GS),Red,Gym Red/Black-White ,170,12/9/17,1435,0.35,193
